Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s)
81,4,8,6,3360,0.9977329090733777,0.9804377709633076,0.9806206302026134,0.9804377709633076,0.9983333333333333,0.7339959144592285
82,4,8,8,4480,0.9980134991804069,0.9812837051919213,0.9814235349779684,0.9812837051919213,1.0,0.8248343467712402
83,4,8,9,5040,0.998047150708707,0.9807549962990377,0.9808854432144848,0.9807549962990377,0.9996666666666667,1.1648826599121094
84,4,8,10,5600,0.9983275479703018,0.9802262874061541,0.980362095222842,0.9802262874061541,1.0,1.1738579273223877
85,4,8,12,6720,0.99805322533989,0.9790631278418103,0.9791989028722461,0.9790631278418103,1.0,1.3093981742858887
86,4,9,6,1920,0.9951351846495035,0.9647879877339537,0.9654610465024555,0.9647879877339537,0.9843333333333333,0.430849552154541
87,4,9,8,2560,0.9964679394465337,0.9716612033414402,0.9722182013399412,0.9716612033414402,0.9901666666666666,0.48920106887817383
88,4,9,9,2880,0.9966678719506317,0.9701808184413662,0.9707478271046284,0.9701808184413662,0.9916666666666667,0.5175795555114746
89,4,9,10,3200,0.9966288207501688,0.9704980437770964,0.9709198552243656,0.9704980437770964,0.9925,0.5714430809020996
90,4,9,12,3840,0.9965232378748432,0.9707095273342498,0.9711558584370963,0.9707095273342498,0.9946666666666667,0.6711699962615967
91,4,10,6,1440,0.9979942146369685,0.97842867717035,0.9786236697777125,0.97842867717035,0.9896666666666667,0.24836945533752441
92,4,10,8,1920,0.9983037315591553,0.9789573860632336,0.9791373938033147,0.9789573860632336,0.9941666666666666,0.35405588150024414
93,4,10,9,2160,0.9984689518850641,0.9803320291847308,0.9804638081289252,0.9803320291847308,0.994,0.3749961853027344
94,4,10,10,2400,0.9984539099411821,0.9796975785132706,0.9798465264194408,0.9796975785132706,0.9953333333333333,0.41489291191101074
95,4,10,12,2880,0.9982662713335261,0.9790631278418103,0.9792469935072623,0.9790631278418103,0.9956666666666667,0.513629674911499
96,4,14,6,192,0.9862517115032302,0.945331500475838,0.9468383093729086,0.945331500475838,0.9565,0.031916141510009766
97,4,14,8,256,0.9918337190242021,0.9555884529977794,0.956980087111033,0.9555884529977794,0.9646666666666667,0.04088950157165527
98,4,14,9,288,0.9923386847941376,0.9578090303478904,0.9590594468059873,0.9578090303478904,0.9686666666666667,0.056849002838134766
99,4,14,10,320,0.9932767814097,0.959818124140848,0.9610386709943265,0.959818124140848,0.9686666666666667,0.050864219665527344
100,4,14,12,384,0.9936148876675346,0.9597123823622713,0.960965489177099,0.9597123823622713,0.9705,0.06782221794128418
