Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
82,4,7,14,10752,0.9984580079066627,0.9819181558633816,0.9820145614765116,0.9819181558633816,1.0,6.853404521942139,3394,5892,108,63
83,4,7,15,11520,0.9984087841095363,0.9802262874061541,0.9803405977623045,0.9802262874061541,1.0,7.275641202926636,3388,5882,118,69
84,4,7,16,12288,0.9985316266512391,0.9819181558633816,0.9820485419857221,0.9819181558633816,1.0,8.592447519302368,3399,5887,113,58
85,4,8,14,7840,0.9982656445858645,0.9811779634133446,0.981329616128511,0.9811779634133446,1.0,5.235267162322998,3398,5881,119,59
86,4,8,15,8400,0.9981640150419439,0.979909062070424,0.9800813354996981,0.979909062070424,1.0,5.601719856262207,3394,5873,127,63
87,4,8,16,8960,0.9982539292257258,0.9803320291847308,0.9804565636320001,0.9803320291847308,1.0,5.815097093582153,3390,5881,119,67
88,4,9,14,4480,0.9966618937421656,0.9708152691128265,0.9714373790529953,0.9708152691128265,0.9973333333333333,3.091625928878784,3385,5796,204,72
89,4,9,15,4800,0.9959185228039726,0.9685946917627154,0.9691798051897444,0.9685946917627154,0.9978333333333333,2.9324207305908203,3371,5789,211,86
90,4,9,16,5120,0.9964814386269405,0.9707095273342498,0.9712094060110517,0.9707095273342498,0.9981666666666666,3.3961808681488037,3376,5804,196,81
91,4,10,14,3360,0.9982740815736187,0.9794860949561172,0.9796857268004495,0.9794860949561172,0.9976666666666667,2.1009066104888916,3395,5868,132,62
92,4,10,15,3600,0.9982625590589144,0.9804377709633076,0.9806292156787235,0.9804377709633076,0.9976666666666667,2.234492063522339,3399,5873,127,58
93,4,10,16,3840,0.9981818050332658,0.9794860949561172,0.979628056637787,0.9794860949561172,0.9985,2.361201763153076,3388,5875,125,69
94,4,14,14,448,0.9939357824703502,0.9602410912551549,0.9614996245971557,0.9602410912551549,0.973,0.2705070972442627,3365,5716,284,92
95,4,14,15,480,0.9934441712467457,0.9597123823622713,0.9608822015989515,0.9597123823622713,0.97,0.30667567253112793,3358,5718,282,99
96,4,14,16,512,0.9940257930768488,0.9593951570265412,0.9606833074212563,0.9593951570265412,0.9723333333333334,0.32746148109436035,3362,5711,289,95
