Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
35,1,8,12,960,0.9960464275383281,0.9717669451200169,0.9720643532304772,0.9717669451200169,1.0,0.18339848518371582,3365,5825,175,92
36,1,9,6,336,0.9861382701764534,0.9466004018187586,0.9474396448844664,0.9466004018187586,0.9661666666666666,0.05599713325500488,3273,5679,321,184
37,1,9,7,392,0.9875360620962298,0.9480807867188326,0.9488566219236605,0.9480807867188326,0.9756666666666667,0.0623018741607666,3277,5689,311,180
38,1,9,8,448,0.9901519622022947,0.9559056783335096,0.9564398355733251,0.9559056783335096,0.9811666666666666,0.07866549491882324,3302,5738,262,155
39,1,9,9,504,0.9901227943303441,0.9529449085333616,0.9538078220716648,0.9529449085333616,0.9846666666666667,0.10472917556762695,3307,5705,295,150
40,1,9,10,560,0.9913835695689904,0.9550597441048958,0.9559971075523989,0.9550597441048958,0.9895,0.10256695747375488,3322,5710,290,135
41,1,9,11,616,0.9906343650564073,0.9540023263191287,0.9545477754908404,0.9540023263191287,0.9915,0.10936141014099121,3293,5729,271,164
42,1,9,12,672,0.9925460900588178,0.9589721899122343,0.9595389094494039,0.9589721899122343,0.9936666666666667,0.12618017196655273,3320,5749,251,137
43,1,10,6,288,0.9887496866261691,0.9520989743047478,0.9529504982159311,0.9520989743047478,0.9628333333333333,0.06957340240478516,3302,5702,298,155
44,1,10,7,336,0.991269742551345,0.9567516125621233,0.9574495782718789,0.9567516125621233,0.9771666666666666,0.04686570167541504,3317,5731,269,140
45,1,10,8,384,0.9928386365827789,0.9606640583694618,0.9613586690666375,0.9606640583694618,0.9803333333333333,0.09275197982788086,3337,5748,252,120
46,1,10,9,432,0.9929003471217818,0.9618272179338057,0.9624584182298418,0.9618272179338057,0.9848333333333333,0.09363460540771484,3339,5757,243,118
47,1,10,10,480,0.9939745444026612,0.9638363117267632,0.9644614792065108,0.9638363117267632,0.988,0.08987951278686523,3349,5766,234,108
48,1,10,11,528,0.9939710249734837,0.9626731521624193,0.9634103074135703,0.9626731521624193,0.9893333333333333,0.10759568214416504,3350,5754,246,107
49,1,10,12,576,0.9945962298717577,0.964682245955377,0.9653481584362374,0.964682245955377,0.9931666666666666,0.10008358955383301,3356,5767,233,101
50,1,14,6,120,0.9628712756725484,0.9109654224384054,0.9126557035265916,0.9109654224384054,0.9216666666666666,0.015626192092895508,3130,5485,515,327
51,1,14,7,140,0.9755473435541413,0.9310563603679813,0.9326717369910102,0.9310563603679813,0.9356666666666666,0.034993648529052734,3230,5575,425,227
52,1,14,8,160,0.9821405843216662,0.9402558951041556,0.9422369168539209,0.9402558951041556,0.9505,0.04063606262207031,3292,5600,400,165
53,1,14,9,180,0.9829489923826054,0.943110923125727,0.9445824864673071,0.943110923125727,0.9548333333333333,0.0388941764831543,3286,5633,367,171
54,1,14,10,200,0.9865222254363128,0.9485037538331395,0.9494757738786801,0.9485037538331395,0.9598333333333333,0.03590130805969238,3290,5680,320,167
55,1,14,11,220,0.9869910326873013,0.9500898805117902,0.9513184638470533,0.9500898805117902,0.9615,0.031244516372680664,3311,5674,326,146
56,1,14,12,240,0.9890517307877736,0.9535793592048218,0.9545666077163858,0.9535793592048218,0.9683333333333334,0.04686546325683594,3317,5701,299,140
57,2,4,6,6840,0.9988652974640826,0.9864650523421804,0.9864909646074859,0.9864650523421804,1.0,1.2232239246368408,3403,5926,74,54
58,2,4,7,7980,0.9989753157843988,0.9875224701279476,0.9875621792360227,0.9875224701279476,1.0,5.807075500488281,3412,5927,73,45
59,2,4,8,9120,0.9991630990261305,0.9874167283493709,0.9874545620531219,0.9874167283493709,1.0,1.7471704483032227,3411,5927,73,46
